ordinal{string},comment{string},originator{string},norad_cat_id{string},object_name{string},object_type{string},classification_type{string},intldes{string},epoch{timestamp},epoch_microseconds{integer},mean_motion{decimal},eccentricity{decimal},inclination{decimal},ra_of_asc_node{decimal},arg_of_pericenter{decimal},mean_anomaly{decimal},ephemeris_type{string},element_set_no{string},rev_at_epoch{integer},bstar{decimal},mean_motion_dot{decimal},mean_motion_ddot{string},file{string},tle_line0{string},tle_line1{string},tle_line2{string},object_id{string},object_number{string},semimajor_axis{decimal},period{decimal},apogee{decimal},perigee{decimal}
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43138,STEP CUBE LAB,PAYLOAD,U,18004AD,2019-02-21T18:24:52Z,415712,15.2368693999999998,0.000790600000000000027,97.5030000000000001,120.955600000000004,314.001100000000008,46.0574000000000012,0,999,6171,6.41849999999999962e-05,1.46800000000000001e-05,0,2414122,0 STEP CUBE LAB,1 43138U 18004AD  19052.76727333  .00001468  00000-0  64185-4 0  9994,2 43138  97.5030 120.9556 0007906 314.0011  46.0574 15.23686940 61710,2018-004AD,43138,6872.86800000000039,94.507000000000005,500.165999999999997,489.298999999999978
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43783,KAZSTSAT,PAYLOAD,U,18099AB,2019-02-21T18:25:02Z,116704,14.9360923000000003,0.000862899999999999995,97.7713999999999999,126.085300000000004,356.285799999999995,3.82960000000000012,0,999,1193,-2.63690000000000011e-06,-8.50000000000000014e-07,0,2414067,0 KAZSTSAT,1 43783U 18099AB  19052.76738561 -.00000085  00000-0 -26369-5 0  9998,2 43783  97.7714 126.0853 0008629 356.2858   3.8296 14.93609230 11938,2018-099AB,43783,6964.82899999999972,96.4099999999999966,592.703999999999951,580.683999999999969
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,3428,OV2-5,PAYLOAD,U,68081A,2019-02-21T18:25:13Z,691712,1.01556672000000003,0.00900809999999999979,4.69669999999999987,308.566899999999976,340.039300000000026,333.610000000000014,0,999,9391,0,3.99999999999999982e-07,0,2414564,0 OV2-5,1  3428U 68081A   19052.76751958 +.00000040 +00000-0 +00000-0 0  9999,2  3428 004.6967 308.5669 0090081 340.0393 333.6100 01.01556672093919,1968-081A,3428,41808.3340000000026,1417.92699999999991,35806.8130000000019,35053.5849999999991
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,12997,RADIO 3,PAYLOAD,U,81120A,2019-02-21T18:25:22Z,329120,12.15820568,0.00591039999999999968,82.9608999999999952,306.924300000000017,102.188299999999998,323.00709999999998,0,999,64999,0.000357229999999999993,4.4999999999999998e-07,0,2414564,0 RADIO 3,1 12997U 81120A   19052.76761955 +.00000045 +00000-0 +35723-3 0  9995,2 12997 082.9609 306.9243 0059104 102.1883 323.0071 12.15820568649994,1981-120A,12997,7988.9340000000002,118.438000000000002,1658.01700000000005,1563.5809999999999
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,42965,QZS-4,PAYLOAD,U,17062A,2019-02-21T18:25:42Z,833568,1.00294988000000007,0.0750481999999999955,40.7147000000000006,17.9882999999999988,269.442299999999989,276.706099999999992,0,999,502,0,-3.31999999999999998e-06,0,2414564,0 QZS-4,1 42965U 17062A   19052.76785687 -.00000332 +00000-0 +00000-0 0  9992,2 42965 040.7147 017.9883 0750482 269.4423 276.7061 01.00294988005020,2017-062A,42965,42158.2280000000028,1435.7639999999999,38943.9919999999984,32616.1939999999995
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,31577,EUTE 8A (SINOSAT 3),PAYLOAD,U,07021A,2019-02-21T18:25:51Z,377664,0.983361339999999973,0.000662399999999999946,4.13670000000000027,57.2882000000000033,32.1450000000000031,175.192499999999995,0,999,4268,0,-1.41999999999999996e-06,0,2414128,0 EUTE 8A (SINOSAT 3),1 31577U 07021A   19052.76795576 -.00000142  00000-0  00000+0 0  9999,2 31577   4.1367  57.2882 0006624  32.1450 175.1925  0.98336134 42688,2007-021A,31577,42716.2459999999992,1464.36500000000001,36366.4069999999992,36309.8159999999989
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,24727,COSMOS 2339,PAYLOAD,U,97006C,2019-02-21T18:26:41Z,622720,12.6232285399999995,0.000116100000000000003,82.6073999999999984,154.695099999999996,87.1718000000000046,28.6097000000000001,0,999,1439,9.02710000000000036e-05,2.70000000000000009e-07,0,2414564,0 COSMOS 2339,1 24727U 97006C   19052.76853730 +.00000027 +00000-0 +90271-4 0  9992,2 24727 082.6074 154.6951 0001161 087.1718 028.6097 12.62322854014397,1997-006C,24727,7791.50799999999981,114.075000000000003,1414.27800000000002,1412.46800000000007
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,25773,GLOBALSTAR M052,PAYLOAD,U,99031D,2019-02-21T18:26:55Z,56192,11.1502781199999994,0.000154899999999999998,51.9853000000000023,164.323499999999996,305.975900000000024,213.024200000000008,0,999,22111,0.00105689999999999994,-3.39999999999999974e-07,0,2414564,0 GLOBALSTAR M052,1 25773U 99031D   19052.76869278 -.00000034 +00000-0 +10569-2 0  9997,2 25773 051.9853 164.3235 0001549 305.9759 213.0242 11.15027812221117,1999-031D,25773,8463.39600000000064,129.144000000000005,2086.57200000000012,2083.94999999999982
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,23571,INTELSAT 706,PAYLOAD,U,95023A,2019-02-21T18:27:29Z,361312,0.990527680000000021,0.000430199999999999994,5.60510000000000019,62.0206000000000017,291.641599999999983,277.069299999999998,0,999,8681,0,-4.4999999999999998e-07,0,2414141,0 INTELSAT 706,1 23571U 95023A   19052.76908983 -.00000045  00000-0  00000+0 0  9993,2 23571   5.6051  62.0206 0004302 291.6416 277.0693  0.99052768 86814,1995-023A,23571,42509.9660000000003,1453.76999999999998,36150.1189999999988,36113.5429999999978
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,40079,O3B FM3,PAYLOAD,U,14038A,2019-02-21T18:27:49Z,374144,5.00116031000000039,0.000108499999999999995,0.0488000000000000031,4.70169999999999977,32.5529999999999973,322.745999999999981,0,999,7952,0,-2.59999999999999999e-07,0,2414564,0 O3B FM3,1 40079U 14038A   19052.76932146 -.00000026 +00000-0 +00000-0 0  9990,2 40079 000.0488 004.7017 0001085 032.5530 322.7460 05.00116031079527,2014-038A,40079,14444.0159999999996,287.932999999999993,8067.44899999999961,8064.31400000000031
